City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Kentau,KZ,43.5206,68.5094,93.29,15,0,11.23,clear sky
276,Taormina,IT,37.8536,15.2885,86.45,44,0,2.37,clear sky
277,Tilichiki,RU,60.4667,166.1,47.35,70,0,6.46,clear sky
278,Nouadhibou,MR,20.931,-17.0347,78.78,69,9,8.05,clear sky
279,Nelson Bay,AU,-32.7167,152.15,63.0,85,99,15.01,overcast clouds
280,Kavaratti,IN,10.5669,72.642,80.96,82,91,20.8,overcast clouds
281,Plettenberg Bay,ZA,-34.0527,23.3716,55.06,79,0,3.27,clear sky
282,Eyl,SO,7.9803,49.8164,77.59,73,99,26.42,overcast clouds
283,Leua,SK,48.2156,18.6071,97.5,16,7,4.94,clear sky
284,Gat,IL,31.61,34.7642,86.4,100,2,11.3,clear sky
285,Lata,PT,40.1629,-8.3327,85.5,48,0,10.56,clear sky
286,Kota Kinabalu,MY,5.9749,116.0724,80.58,89,20,3.44,few clouds
287,Dongobesh,TZ,-4.0667,35.3833,60.44,51,54,10.31,broken clouds
288,Raub,MY,3.7899,101.857,75.11,93,85,0.16,overcast clouds
289,Nizwa,OM,22.9333,57.5333,90.07,60,100,1.54,light rain
290,Kangaatsiaq,GL,68.3065,-53.4641,42.17,99,100,8.39,overcast clouds
291,Carballo,ES,43.213,-8.691,81.82,88,69,10.89,broken clouds
292,Yerbogachen,RU,61.2767,108.0108,58.35,77,100,4.05,overcast clouds
293,Egvekinot,RU,66.3167,-179.1667,33.04,72,16,9.75,few clouds
294,Jieshi,CN,22.8134,115.8257,83.37,81,0,5.08,clear sky
295,Sobolevo,RU,54.4299,31.8996,67.08,75,18,12.64,few clouds
296,Port Hardy,CA,50.6996,-127.4199,53.78,94,100,3.44,mist
297,Havelock,US,34.8791,-76.9013,89.06,82,40,17.27,scattered clouds
298,Kontagora,NG,10.3999,5.4695,80.46,75,78,3.33,moderate rain
299,Newport,GB,51.5877,-2.9984,74.39,64,20,6.38,few clouds
300,Chulumani,BO,-16.4096,-67.5263,79.54,31,86,4.38,overcast clouds
301,Srednekolymsk,RU,67.45,153.6833,41.59,54,18,6.02,few clouds
302,Cayenne,GF,4.9333,-52.3333,87.84,12,100,2.3,overcast clouds
303,Buala,SB,-8.145,159.5921,79.93,83,90,6.11,overcast clouds
304,Yar-Sale,RU,66.8333,70.8333,47.89,73,100,8.03,overcast clouds
305,Ukrayinka,UA,47.9167,35.35,73.13,44,73,9.19,broken clouds
306,Urumqi,CN,43.801,87.6005,79.75,23,0,0.0,clear sky
307,Port Blair,IN,11.6667,92.75,80.64,89,100,2.3,mist
308,Byron Bay,AU,-28.65,153.6167,58.95,75,95,20.24,moderate rain
309,Nantucket,US,41.2835,-70.0995,78.94,94,100,12.66,fog
310,Severo-Kurilsk,RU,50.6789,156.125,52.48,97,100,22.95,moderate rain
311,Vila Velha,BR,-20.3297,-40.2925,78.75,81,75,12.66,broken clouds
312,Kanniyakumari,IN,8.0833,77.5667,79.45,82,15,20.85,few clouds
313,Kulhudhuffushi,MV,6.6221,73.07,81.55,79,100,18.59,overcast clouds
314,Maniitsoq,GL,65.4167,-52.9,43.81,95,100,15.39,overcast clouds
315,Zhuhai,CN,22.2769,113.5678,85.78,84,0,6.91,clear sky
316,Banda Aceh,ID,5.5577,95.3222,81.14,76,100,7.23,overcast clouds
317,Swan Hill,AU,-35.3378,143.5544,47.01,90,6,12.15,clear sky
318,Port Hedland,AU,-20.3167,118.5667,71.56,63,0,10.74,clear sky
319,Putyatino,RU,54.16,41.1169,59.2,94,93,13.49,light rain
320,Tautira,PF,-17.7333,-149.15,75.13,78,14,10.96,light rain
321,Tucumcari,US,35.1717,-103.725,82.94,69,0,3.44,clear sky
322,Barranca,PE,-10.75,-77.7667,64.4,74,85,10.94,overcast clouds
323,Uruguaiana,BR,-29.7547,-57.0883,76.93,69,0,10.36,clear sky
324,Goedereede,NL,51.8175,3.9806,64.98,81,100,4.0,overcast clouds
325,Areosa,PT,41.7178,-8.8571,74.07,66,9,5.84,clear sky
326,Zafra,ES,38.4167,-6.4167,101.75,11,12,9.89,few clouds
327,Ust-Barguzin,RU,53.45,108.9833,55.67,74,100,4.59,overcast clouds
328,Klaksvik,FO,62.2266,-6.589,52.72,82,29,11.45,scattered clouds
329,Hakui,JP,36.8833,136.7833,74.68,97,99,6.42,overcast clouds
330,Constantine,DZ,36.365,6.6147,96.21,28,20,12.66,few clouds
331,Erenhot,CN,43.6475,111.9767,85.3,20,100,19.69,overcast clouds
332,Pecos,US,31.4229,-103.4932,87.89,42,0,5.75,clear sky
333,Dingle,PH,10.9995,122.6711,77.94,91,100,5.21,overcast clouds
334,Gillette,US,44.2911,-105.5022,82.11,24,0,12.66,clear sky
335,Feldkirchen,DE,48.148,11.7434,76.33,69,58,1.99,broken clouds
336,Lorengau,PG,-2.0226,147.2712,80.17,78,99,4.09,overcast clouds
337,Porto Belo,BR,-27.1578,-48.5531,75.18,79,96,9.78,overcast clouds
338,Pauini,BR,-7.7136,-66.9764,94.77,30,22,0.4,few clouds
339,Shingu,JP,33.7333,135.9833,77.94,93,75,3.85,broken clouds
340,Puerto Narino,CO,-3.7703,-70.3831,84.38,63,72,4.14,broken clouds
341,San Ignacio,BZ,17.1561,-89.0714,84.34,70,0,0.0,clear sky
342,Fort Nelson,CA,58.8053,-122.7002,54.99,82,75,3.44,broken clouds
343,Goderich,CA,43.7501,-81.7165,75.9,78,14,11.5,few clouds
344,Bonthe,SL,7.5264,-12.505,78.03,78,100,12.17,light rain
